First Choice,Second Choice,Third Choice,VoterID
Dalinar Kholin,Jasnah Kholin,Renarin Kholin,1001
Dalinar Kholin,Jasnah Kholin,Kaladin Stormblessed,1002
Torol Sadeas,Meridas Amaram,Shallan Davar,1003
Torol Sadeas,Meridas Amaram,Shallan Davar,1004
Dalinar Kholin,Jasnah Kholin,Kaladin Stormblessed,1005
Dalinar Kholin,Jasnah Kholin,Renarin Kholin,1006
Torol Sadeas,Meridas Amaram,Shallan Davar,1007
Dalinar Kholin,Jasnah Kholin,Kaladin Stormblessed,1008
Dalinar Kholin,Jasnah Kholin,Renarin Kholin,1009
Torol Sadeas,Meridas Amaram,Renarin Kholin,1010
